source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
Colorado River,LineString,Grand Canyon National Park,Polygon,"The rushing waters carve a continuous, winding path straight through the very center of the federal preserve.",topological,crosses,A natural river line entirely traversing a federal park polygon.,Level 3
Prime Meridian,LineString,The Equator,LineString,The imaginary global navigational lines meet and project straight through each other at zero degrees in the Gulf of Guinea.,topological,crosses,Two planet-spanning mathematical line geometries intersecting at exactly one point.,Level 3
Trans-Siberian Railway,LineString,Ural Mountains,Polygon,The world's longest railway makes its way completely through the massive geological barrier linking Europe to Asia.,topological,crosses,A railway line passing through a massive mountain range polygon.,Level 3
Channel Tunnel,LineString,English Channel,Polygon,The subterranean transit line bores entirely beneath the seabed from the French coastline all the way to the British side.,topological,crosses,A subterranean line completely traversing a maritime polygon footprint.,Level 3
Panama Canal,LineString,Isthmus of Panama,Polygon,The complex artificial waterway slices directly through the Central American landmass to connect two global oceans.,topological,crosses,An artificial canal line traversing a landmass polygon.,Level 3
Tropic of Capricorn,LineString,Great Dividing Range,Polygon,The mathematical global latitude runs directly over the rugged geological peaks on the Australian continent.,topological,crosses,An abstract planetary line traversing a physical geological polygon.,Level 3
Route 66,LineString,Mississippi River,LineString,The historic American highway bridges a path completely over the flowing waters via the Chain of Rocks structure.,topological,crosses,A highway line intersecting a major river line.,Level 3
Appalachian Trail,LineString,Mason-Dixon Line,LineString,The legendary hiking path weaves a route directly over the historical boundary separating the northern and southern states.,topological,crosses,A physical hiking trail line intersecting a historical boundary line.,Level 3
Suez Canal,LineString,Egypt,Polygon,The massive engineering project cuts a continuous path right through the desert sands to connect the Mediterranean and Red Seas.,topological,crosses,An artificial canal traversing a national polygon.,Level 3
Trans-Alaska Pipeline,LineString,Arctic Circle,LineString,The massive steel tube plunges straight over the imaginary global latitude on its way down to the southern port of Valdez.,topological,crosses,An infrastructure line intersecting a global latitudinal line.,Level 3
Trans-Alaska Pipeline,LineString,Arctic Circle,LineString,The massive steel tube plunges straight over the imaginary global latitude on its route to the southern port.,topological,crosses,An infrastructure line intersecting a global latitudinal line.,Level 3
Channel Tunnel,LineString,Prime Meridian,LineString,The subterranean transit line intersects the global longitude line deep beneath the ocean floor.,topological,crosses,A subterranean transit line intersecting a global latitudinal line.,Level 3
Eurotunnel Subterranean Tube,LineString,English Channel Maritime Zone,Polygon,"The massive transit architecture bores deep in the bedrock, threading directly under the national maritime jurisdiction.",topological,crosses,A subterranean line traversing a maritime polygon.,Level 3
Route 66,LineString,Continental Divide,LineString,The historic highway drives directly over the massive hydrological spine of North America.,topological,crosses,A highway line intersecting a major geographical line.,Level 3
Bosphorus Bridge,LineString,Bosphorus Strait,Polygon,The massive suspension pylons hold the roadway directly over the turbulent shipping lanes connecting the two seas.,topological,crosses,A bridge line traversing a maritime strait polygon.,Level 3
Seikan Tunnel,LineString,Tsugaru Strait,Polygon,"The massive Japanese rail transit tube bores deeply beneath the ocean floor, threading below the water volume.",topological,crosses,A subterranean transport line traversing an aquatic volumetric polygon.,Level 3
PATH Train Tunnels,LineString,New York-New Jersey State Line,LineString,"The subterranean transit tubes bore deeply through the bedrock, piercing the invisible, vertically extruded geopolitical boundary.",topological,crosses,A physical subterranean transit line cutting directly through an abstract border line.,Level 3
Interstate 15,LineString,Mojave Desert,Polygon,"The massive highway weaves directly through the desolate, scorching arid basin.",topological,crosses,A highway traversing an environmental polygon.,Level 3
Trans-Sahara Highway,LineString,Sahara Desert,Polygon,The desolate road network plows a brutal path directly through the massive sea of sand.,topological,crosses,A highway line completely traversing an environmental polygon.,Level 3
Prime Meridian,LineString,The Equator,LineString,"The two globally defining cartographic lines converge at exactly one coordinate precisely located in the Gulf of Guinea, creating a singular topological node.",topological,crosses,Two planet-spanning mathematical line geometries intersecting at exactly one point.,Level 4
Panama Canal,LineString,Isthmus of Panama,Polygon,"The complex artificial waterway slices directly through the Central American landmass, bridging the gap between two global oceans.",topological,crosses,An artificial canal line traversing a massive landmass polygon.,Level 4
Appalachian Trail,LineString,Mason-Dixon Line,LineString,The legendary hiking path weaves a route directly over the historical survey boundary severing the northern and southern states.,topological,crosses,A physical hiking trail line intersecting a historical boundary line.,Level 4
Trans-Alaska Pipeline,LineString,Arctic Circle,LineString,The massive steel tube plunges straight over the imaginary global latitude on its route down to the southern ice-free port.,topological,crosses,An infrastructure line intersecting a global latitudinal line.,Level 4
Equator,LineString,Amazon River,LineString,"The invisible global latitude slices directly over the winding, massive South American waterway near the city of Macapa.",topological,crosses,A planetary line geometry intersecting a physical river line geometry.,Level 4
